Datetime,Water Level (m)
2024-12-05 00:00:00,-0.03837747
2024-12-05 01:00:00,-0.049150154
2024-12-05 02:00:00,-0.058235824
2024-12-05 03:00:00,-0.060822308
2024-12-05 04:00:00,-0.053959053
2024-12-05 05:00:00,-0.03990709
2024-12-05 06:00:00,-0.022757495
2024-12-05 07:00:00,-0.006055952
2024-12-05 08:00:00,0.006914106
2024-12-05 09:00:00,0.015562528
2024-12-05 10:00:00,0.018942503
2024-12-05 11:00:00,0.0141435275
2024-12-05 12:00:00,0.0043327753
2024-12-05 13:00:00,-0.0066516907
2024-12-05 14:00:00,-0.017569486
2024-12-05 15:00:00,-0.026672762
2024-12-05 16:00:00,-0.030126914
2024-12-05 17:00:00,-0.026475523
2024-12-05 18:00:00,-0.017799027
2024-12-05 19:00:00,-0.0068520685
2024-12-05 20:00:00,0.003059704
2024-12-05 21:00:00,0.006555825
2024-12-05 22:00:00,0.0045813182
2024-12-05 23:00:00,-0.002008182
2024-12-06 00:00:00,-0.012398093
2024-12-06 01:00:00,-0.024362424
2024-12-06 02:00:00,-0.035602402
2024-12-06 03:00:00,-0.041998375
2024-12-06 04:00:00,-0.03965633
2024-12-06 05:00:00,-0.028956298
2024-12-06 06:00:00,-0.010331899
2024-12-06 07:00:00,0.011611173
2024-12-06 08:00:00,0.03209977
2024-12-06 09:00:00,0.047616668
2024-12-06 10:00:00,0.056068845
2024-12-06 11:00:00,0.057593584
2024-12-06 12:00:00,0.05345657
2024-12-06 13:00:00,0.045901634
2024-12-06 14:00:00,0.036768146
2024-12-06 15:00:00,0.02735246
2024-12-06 16:00:00,0.019766875
2024-12-06 17:00:00,0.017536921
2024-12-06 18:00:00,0.021966524
2024-12-06 19:00:00,0.03187357
2024-12-06 20:00:00,0.042669874
2024-12-06 21:00:00,0.050213285
2024-12-06 22:00:00,0.052079715
2024-12-06 23:00:00,0.048774097
2024-12-07 00:00:00,0.041449662
2024-12-07 01:00:00,0.031722605
2024-12-07 02:00:00,0.020996533
2024-12-07 03:00:00,0.010531947
2024-12-07 04:00:00,0.004409105
2024-12-07 05:00:00,0.007059052
2024-12-07 06:00:00,0.018129356
2024-12-07 07:00:00,0.035446286
2024-12-07 08:00:00,0.054332405
2024-12-07 09:00:00,0.07074353
2024-12-07 10:00:00,0.08144642
2024-12-07 11:00:00,0.0851555
2024-12-07 12:00:00,0.08304599
2024-12-07 13:00:00,0.07628893
2024-12-07 14:00:00,0.06675217
2024-12-07 15:00:00,0.055927355
2024-12-07 16:00:00,0.04502224
2024-12-07 17:00:00,0.036601294
2024-12-07 18:00:00,0.033690225
2024-12-07 19:00:00,0.03762974
2024-12-07 20:00:00,0.046840552
2024-12-07 21:00:00,0.057328176
2024-12-07 22:00:00,0.06460105
2024-12-07 23:00:00,0.0663223
2024-12-08 00:00:00,0.06291701
2024-12-08 01:00:00,0.05542935
2024-12-08 02:00:00,0.04573112
2024-12-08 03:00:00,0.03509053
2024-12-08 04:00:00,0.025204154
2024-12-08 05:00:00,0.019318419
2024-12-08 06:00:00,0.021502385
2024-12-08 07:00:00,0.031705223
2024-12-08 08:00:00,0.047107752
2024-12-08 09:00:00,0.06367875
2024-12-08 10:00:00,0.07780154
2024-12-08 11:00:00,0.08654879
2024-12-08 12:00:00,0.08914054
2024-12-08 13:00:00,0.086039
2024-12-08 14:00:00,0.07832981
2024-12-08 15:00:00,0.06788356
2024-12-08 16:00:00,0.056345284
2024-12-08 17:00:00,0.04500457
2024-12-08 18:00:00,0.036332533
2024-12-08 19:00:00,0.033292823
2024-12-08 20:00:00,0.037922278
2024-12-08 21:00:00,0.04833349
2024-12-08 22:00:00,0.06052576
2024-12-08 23:00:00,0.070832916
2024-12-09 00:00:00,0.07589318
2024-12-09 01:00:00,0.075377196
2024-12-09 02:00:00,0.07061201
2024-12-09 03:00:00,0.063275345
2024-12-09 04:00:00,0.054442886
2024-12-09 05:00:00,0.04616799
2024-12-09 06:00:00,0.04219999
2024-12-09 07:00:00,0.045932658
2024-12-09 08:00:00,0.05663711
2024-12-09 09:00:00,0.07130412
2024-12-09 10:00:00,0.0877447
2024-12-09 11:00:00,0.10208529
2024-12-09 12:00:00,0.10933709
2024-12-09 13:00:00,0.110086426
2024-12-09 14:00:00,0.10631887
2024-12-09 15:00:00,0.098259434
2024-12-09 16:00:00,0.087681726
2024-12-09 17:00:00,0.076231375
2024-12-09 18:00:00,0.065556616
2024-12-09 19:00:00,0.057914235
2024-12-09 20:00:00,0.05628696
2024-12-09 21:00:00,0.06311765
2024-12-09 22:00:00,0.075842015
2024-12-09 23:00:00,0.09024922
2024-12-10 00:00:00,0.10306472
2024-12-10 01:00:00,0.110859245
2024-12-10 02:00:00,0.11266481
2024-12-10 03:00:00,0.10917782
2024-12-10 04:00:00,0.10176726
2024-12-10 05:00:00,0.09284197
2024-12-10 06:00:00,0.0836253
2024-12-10 07:00:00,0.07686257
2024-12-10 08:00:00,0.07696074
2024-12-10 09:00:00,0.08420073
2024-12-10 10:00:00,0.09630098
2024-12-10 11:00:00,0.11030269
2024-12-10 12:00:00,0.122841686
2024-12-10 13:00:00,0.12994465
2024-12-10 14:00:00,0.13038443
2024-12-10 15:00:00,0.12595488
2024-12-10 16:00:00,0.120472424
2024-12-10 17:00:00,0.11223498
2024-12-10 18:00:00,0.101846166
2024-12-10 19:00:00,0.09143038
2024-12-10 20:00:00,0.08306991
2024-12-10 21:00:00,0.081064284
2024-12-10 22:00:00,0.087465875
2024-12-10 23:00:00,0.10090052
2024-12-11 00:00:00,0.11709759
